bite,user,completed
102,ofancourt1,False
101,ofancourt1,False
29,emilham4,False
9,mfilshin6,False
183,jshowell8,False
105,jwhitsuna,False
1,ehartingtonc,False
7,ssampeye,False
32,tstorrahg,False
104,jwhitsuna,False
101,ndegiorgioj,False
166,caughtiel,True
103,jwhitsuna,False
102,jwhitsuna,True
183,mbeevisp,True
101,jwhitsuna,True
101,mhalbords,True
176,mcaberasu,True
172,mcaberasu,True
4,gredheadx,False
169,mcaberasu,True
182,mbeevisp,True
81,dparmenter11,False
79,dparmenter11,True
167,mcaberasu,True
173,caughtiel,False
181,cdumphries16,True
165,mcaberasu,True
1,cwhelpton19,False
80,jcheckley1b,False
29,maisman1d,False
108,asadry1f,False
107,asadry1f,True
66,jbonefant1i,True
106,asadry1f,True
161,jshowell8,True
175,caughtiel,False
153,jshowell8,True
149,jshowell8,True
105,asadry1f,True
143,jshowell8,True
77,jcheckley1b,True
104,asadry1f,True
103,asadry1f,True
102,asadry1f,True
74,jcheckley1b,True
101,asadry1f,True
172,cdumphries16,True
105,chothersall1y,False
68,jcheckley1b,True
104,chothersall1y,True
144,cdumphries16,False
140,cdumphries16,False
103,chothersall1y,True
138,cdumphries16,True
102,chothersall1y,True
50,oleupoldt27,False
101,chothersall1y,True
102,tglede2a,False
163,caughtiel,False
161,caughtiel,True
3,tdupoy2e,False
11,gredheadx,False
180,tdupoy2e,False
181,tdupoy2e,False
25,fwasielewicz2j,False
3,gredheadx,True
10,lcork2m,True
115,hpollak2o,True
9,lcork2m,True
105,pshorrock2r,False
104,pshorrock2r,True
103,pshorrock2r,True
101,pspira2v,False
102,pshorrock2r,True
20,hcalafato2y,False
120,hcalafato2y,False
178,hcalafato2y,False
78,hcalafato2y,True
101,pshorrock2r,True
102,htrevett34,False
101,htrevett34,True
104,dcaselick37,True
145,hcalafato2y,False
121,hcalafato2y,True
2,gredheadx,True
8,dcaselick37,False
1,htrevett34,False
180,hcalafato2y,False
171,hcalafato2y,False
179,hcalafato2y,True
7,jensten3h,False
5,gredheadx,False
1,gredheadx,True
26,emilham4,True
133,nbretherton3m,True
105,cbubbins3o,False
54,jbonefant1i,False
45,jbonefant1i,True
96,nbretherton3m,True
101,gstoneman3t,False
102,shaysom3v,False
101,shaysom3v,True
1,shaysom3v,False
78,dparmenter11,True
181,mwolfendale40,False
176,mwolfendale40,False
172,mwolfendale40,False
167,mwolfendale40,True
21,iwillimot45,True
101,gprobin47,False
110,vminer49,False
109,vminer49,True
108,vminer49,True
107,vminer49,True
106,vminer49,True
105,vminer49,True
